University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Indian Institute of Technology Madras,IR-O-U-0456,3567.0,553.0,4120.0,974.0,3103.0
Indian Institute of Science,IR-O-U-0220,404.0,79.0,483.0,63.0,420.0
Indian Institute of Technology Delhi,IR-O-I-1074,3369.0,424.0,3793.0,126.0,3666.0
Indian Institute of Technology Bombay,IR-O-U-0306,3826.0,483.0,4309.0,1198.0,3109.0
Indian Institute of Technology Kharagpur,IR-O-U-0573,2470.0,299.0,2769.0,304.0,2460.0
Indian Institute of Technology Kanpur,IR-O-I-1075,3184.0,303.0,3487.0,948.0,2537.0
Indian Institute of Technology Guwahati,IR-O-U-0053,2470.0,267.0,2737.0,113.0,2624.0
Jawaharlal Nehru University,IR-O-U-0109,579.0,437.0,1016.0,63.0,893.0
Indian Institute of Technology Roorkee,IR-O-U-0560,3244.0,354.0,3598.0,103.0,3495.0
Banaras Hindu University,IR-O-U-0500,9986.0,5305.0,15291.0,10371.0,4700.0
Calcutta University,IR-O-U-0570,1079.0,1754.0,2833.0,2077.0,743.0
Jadavpur University,IR-O-U-0575,5681.0,1850.0,7531.0,6356.0,1094.0
Amrita Vishwa Vidyapeetham,IR-O-U-0436,8724.0,5335.0,14059.0,4931.0,9090.0
Manipal Academy of Higher Education,IR-O-U-0234,10930.0,7297.0,18227.0,4557.0,13194.0
University of Hyderabad,IR-O-U-0042,0.0,0.0,0.0,0.0,0.0
Jamia Millia Islamia,IR-O-U-0108,3732.0,2029.0,5761.0,1970.0,3684.0
Indian Institute of Technology Hyderabad,IR-O-U-0013,969.0,186.0,1155.0,473.0,682.0
University of Delhi,IR-O-U-0120,720.0,524.0,1244.0,557.0,674.0
Savitribai Phule Pune University,IR-O-U-0323,63.0,62.0,125.0,119.0,4.0
Anna University,IR-O-U-0439,6333.0,4618.0,10951.0,10475.0,113.0
Bharathiar University,IR-O-U-0447,202.0,170.0,372.0,360.0,12.0
Indian Institute of Technology (Indian School of Mines),IR-O-U-0205,3422.0,310.0,3732.0,333.0,3384.0
Indian Institute of Technology Indore,IR-O-U-0273,798.0,88.0,886.0,142.0,744.0
National Institute of Technology Tiruchirappalli,IR-O-U-0467,2846.0,754.0,3600.0,1527.0,1957.0
Indian Institute of Science Education & Research Pune,IR-O-U-0305,672.0,265.0,937.0,244.0,693.0
Indian Institute of Technology (BHU) Varanasi,IR-O-U-0701,3962.0,378.0,4340.0,1018.0,3322.0
Birla Institute of Technology & Science,IR-O-U-0391,9397.0,1534.0,10931.0,1510.0,9169.0
Vellore Institute of Technology,IR-O-U-0490,20724.0,4988.0,25712.0,5064.0,19490.0
Indian Institute of Science Education & Research Kolkata,IR-O-U-0572,710.0,221.0,931.0,336.0,594.0
Homi Bhabha National Institute,IR-O-U-0304,0.0,0.0,0.0,0.0,0.0
Aligarh Muslim University,IR-O-U-0496,8120.0,4490.0,12610.0,8608.0,3750.0
National Institute of Technology Rourkela,IR-O-U-0357,2303.0,502.0,2805.0,1301.0,1301.0
National Institute of Technology Karnataka,IR-O-U-0237,2676.0,566.0,3242.0,1416.0,1779.0
Institute of Chemical Technology,IR-O-U-0308,639.0,298.0,937.0,851.0,85.0
Indian Institute of Technology Gandhinagar,IR-O-U-0139,622.0,77.0,699.0,110.0,589.0
Andhra University,IR-O-U-0006,1376.0,1099.0,2475.0,2228.0,163.0
Jamia Hamdard,IR-O-U-0107,1960.0,1526.0,3486.0,1625.0,1743.0
Siksha `O` Anusandhan,IR-O-U-0363,4977.0,4892.0,9869.0,4664.0,5205.0
Indian Institute of Technology Ropar,IR-O-U-0378,714.0,77.0,791.0,57.0,734.0
Indian Institute of Science Education & Research Bhopal,IR-O-U-0272,755.0,353.0,1108.0,84.0,1024.0
University of Madras,IR-O-I-1357,0.0,0.0,0.0,0.0,0.0
Kerala University,IR-O-U-0260,0.0,0.0,0.0,0.0,0.0
Indian Institute of Engineering Science and Technology,IR-O-U-0584,1997.0,341.0,2338.0,1453.0,867.0
Panjab University,IR-O-U-0078,5878.0,4054.0,9932.0,3037.0,6839.0
Kalinga Institute of Industrial Technology,IR-O-U-0356,12016.0,10467.0,22483.0,2726.0,18656.0
National Institute of Technology Warangal,IR-O-U-0025,2707.0,920.0,3627.0,1437.0,1717.0
Mysore University,IR-O-U-0235,108.0,82.0,190.0,180.0,6.0
Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476,4901.0,3497.0,8398.0,5464.0,2928.0
Mahatma Gandhi University,IR-O-U-0262,79.0,123.0,202.0,202.0,0.0
King George`s Medical University,IR-O-U-0523,1038.0,837.0,1875.0,1721.0,154.0
Sri Ramachandra Institute of Higher Education And Research,IR-O-I-1486,1556.0,3126.0,4682.0,3179.0,1280.0
Thapar Institute of Engineering & Technology,IR-O-I-1480,5106.0,1190.0,6296.0,2910.0,3318.0
Osmania University,IR-O-U-0027,1292.0,955.0,2247.0,2074.0,46.0
Indian Institute of Technology Patna,IR-O-U-0064,788.0,56.0,844.0,146.0,698.0
