University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
JSS Academy of Higher Education and Research,IR-O-U-0222,1473.0,1785.0,3258.0,955.0,2214.0
Indian Institute of Technology Bhubaneswar,IR-O-U-0355,984.0,117.0,1101.0,45.0,1056.0
Tata Institute of Social Sciences,IR-O-U-0331,222.0,294.0,516.0,65.0,450.0
S. R. M. Institute of Science and Technology,IR-O-U-0473,37067.0,10527.0,47594.0,13950.0,32956.0
Indian Institute of Science Education & Research Mohali,IR-O-U-0377,615.0,302.0,917.0,76.0,841.0
Gujarat University,IR-O-U-0136,0.0,0.0,0.0,0.0,0.0
Sathyabama Institute of Science and Technology,IR-O-U-0474,7208.0,3934.0,11142.0,2537.0,8511.0
Delhi Technological University,IR-O-U-0098,6871.0,1227.0,8098.0,4432.0,3232.0
Amity University Noida,IR-O-U-0497,15454.0,12407.0,27861.0,10389.0,17379.0
Alagappa University,IR-O-U-0435,253.0,250.0,503.0,499.0,0.0
Tezpur University,IR-O-U-0056,999.0,265.0,1264.0,1004.0,260.0
Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441,5074.0,3226.0,8300.0,3631.0,4525.0
Indian Institute of Technology Mandi,IR-O-U-0184,544.0,71.0,615.0,10.0,605.0
Sri Venkateswara University,IR-O-U-0037,1284.0,831.0,2115.0,2072.0,34.0
Visva Bharati,IR-O-U-0589,1752.0,1839.0,3591.0,2919.0,591.0
Koneru Lakshmaiah Education Foundation University,IR-O-U-0020,8895.0,4211.0,13106.0,8199.0,4624.0
Malaviya National Institute of Technology,IR-O-U-0410,2371.0,598.0,2969.0,1428.0,1501.0
Gauhati University,IR-O-U-0052,729.0,466.0,1195.0,1033.0,161.0
Symbiosis International,IR-O-U-0329,5874.0,5263.0,11137.0,2934.0,7479.0
North Eastern Hill University,IR-O-U-0341,717.0,351.0,1068.0,552.0,515.0
Dr. D. Y. Patil Vidyapeeth,IR-O-I-1110,1116.0,2129.0,3245.0,1644.0,1537.0
Calicut University,IR-O-U-0251,174.0,127.0,301.0,300.0,1.0
Bharathidasan University,IR-O-U-0448,282.0,32.0,314.0,310.0,4.0
University of Kashmir,IR-O-U-0196,867.0,692.0,1559.0,1559.0,0.0
Banasthali Vidyapith,IR-O-U-0389,0.0,9139.0,9139.0,884.0,7949.0
Indian Institute of Science Education & Research Thiruvananthapuram,IR-O-U-0254,437.0,391.0,828.0,562.0,265.0
Pondicherry University,IR-O-U-0369,513.0,367.0,880.0,542.0,338.0
Shiv Nadar University,IR-O-U-0642,1122.0,526.0,1648.0,402.0,1225.0
Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604,2496.0,1488.0,3984.0,3450.0,487.0
Madurai Kamaraj University,IR-O-U-0463,0.0,0.0,0.0,0.0,0.0
Birla Institute of Technology,IR-O-U-0202,2450.0,690.0,3140.0,1641.0,1402.0
PSG College of Technology,IR-O-C-37013,4239.0,2180.0,6419.0,6126.0,293.0
Bharath Institute of Higher Education & Research,IR-O-U-0446,5965.0,7319.0,13284.0,4546.0,8719.0
Guru Nanak Dev University,IR-O-U-0376,2270.0,2356.0,4626.0,4088.0,529.0
Cochin University of Science and Technology,IR-O-U-0253,769.0,258.0,1027.0,972.0,54.0
University of Jammu,IR-O-U-0195,256.0,225.0,481.0,480.0,1.0
Sawai Man Singh Medical College,IR-O-N-17,804.0,444.0,1248.0,1071.0,174.0
SVKM`s Narsee Monjee Institute of Management Studies,IR-O-N-10,1998.0,1372.0,3370.0,1230.0,2140.0
Motilal Nehru National Institute of Technology,IR-O-U-0530,3089.0,478.0,3567.0,1629.0,1597.0
National Institute of Technology Silchar,IR-O-U-0055,2137.0,312.0,2449.0,1230.0,1203.0
Mumbai University,IR-O-U-0318,439.0,538.0,977.0,800.0,174.0
National Institute of Technology Durgapur,IR-O-U-0577,2350.0,547.0,2897.0,1373.0,1420.0
Datta Meghe Institute of Medical Sciences,IR-O-U-0295,913.0,1876.0,2789.0,1929.0,730.0
Bharati Vidyapeeth,IR-O-I-1361,11278.0,7316.0,18594.0,10303.0,8033.0
Lovely Professional University,IR-O-U-0379,21069.0,5358.0,26427.0,3598.0,21299.0
Mizoram University,IR-O-U-0345,305.0,76.0,381.0,242.0,139.0
Bangalore University,IR-O-U-0215,150.0,250.0,400.0,339.0,60.0
