University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604,2310.0,1471.0,3781.0,3390.0,350.0
University of Kashmir,IR-O-U-0196,752.0,762.0,1514.0,1514.0,0.0
Mysore University,IR-O-U-0235,4239.0,1584.0,5823.0,5195.0,565.0
Guru Nanak Dev University,IR-O-U-0376,2037.0,2179.0,4216.0,3871.0,343.0
Symbiosis International,IR-O-U-0329,5168.0,4370.0,9538.0,2523.0,6251.0
SVKM`s Narsee Monjee Institute of Management Studies,IR-O-N-10,1737.0,1823.0,3560.0,1463.0,2097.0
Amity University,IR-O-U-0497,15905.0,12218.0,28123.0,10341.0,17591.0
Birla Institute of Technology,IR-O-U-0202,2485.0,703.0,3188.0,1643.0,1472.0
Bharathidasan University,IR-O-U-0448,161.0,12.0,173.0,173.0,0.0
Banasthali Vidyapith,IR-O-U-0389,0.0,7833.0,7833.0,1027.0,6491.0
Bharati Vidyapeeth,IR-O-I-1361,10527.0,6914.0,17441.0,9273.0,7841.0
Chaudhary Charan Singh Haryana Agricultural University,IR-O-U-0159,805.0,645.0,1450.0,1397.0,39.0
Calicut University,IR-O-U-0251,15.0,145.0,160.0,160.0,0.0
College of Engineering,IR-O-C-41593,2252.0,1081.0,3333.0,3019.0,69.0
Datta Meghe Institute of Medical Sciences,IR-O-U-0295,889.0,1785.0,2674.0,1802.0,773.0
National Institute of Technology Durgapur,IR-O-U-0577,2369.0,562.0,2931.0,1339.0,1474.0
Cochin University of Science and Technology,IR-O-U-0253,871.0,246.0,1117.0,1052.0,62.0
Guru Gobind Singh Indraprastha University,IR-O-U-0099,1534.0,765.0,2299.0,1909.0,317.0
Anand Agricultural University,IR-O-U-0123,1667.0,684.0,2351.0,2222.0,121.0
Periyar University,IR-O-U-0470,111.0,96.0,207.0,204.0,3.0
KLE Academy of Higher Education and Research,IR-O-U-0225,1442.0,2338.0,3780.0,1593.0,2036.0
Tamil Nadu Veterinary & Animal Sciences University,IR-O-U-0487,917.0,675.0,1592.0,1476.0,91.0
NITTE,IR-O-U-0239,858.0,1906.0,2764.0,893.0,1838.0
