University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Sri Ramachandra Medical College and Research Institute,IR-3-O-ODP-I-1486,858.0,1906.0,2764.0,893.0,1838.0
SRM Institute of Science and Technology,IR-5-O-OEMDP-U-0473,858.0,1906.0,2764.0,893.0,1838.0
PSG College of Technology,IR-3-O-OEM-C-37013,858.0,1906.0,2764.0,893.0,1838.0
Kalinga Institute of Industrial Technology,IR-5-O-OEMLD-U-0356,858.0,1906.0,2764.0,893.0,1838.0
Birla Institute of Technology,IR-5-O-OEMAP-U-0202,858.0,1906.0,2764.0,893.0,1838.0
Symbiosis International,IR-1-O-O-U-0329,858.0,1906.0,2764.0,893.0,1838.0
Sathyabama Institute of Science and Technology,IR-4-O-OEMA-U-0474,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Patna,IR-2-O-OE-U-0064,858.0,1906.0,2764.0,893.0,1838.0
Saveetha Institute of Medical and Technical Sciences,IR-2-O-OD-I-1441,858.0,1906.0,2764.0,893.0,1838.0
University of Kashmir,IR-1-O-O-U-0196,858.0,1906.0,2764.0,893.0,1838.0
Shiv Nadar University,IR-1-O-O-U-0642,858.0,1906.0,2764.0,893.0,1838.0
Sri Sivasubramaniya Nadar College of Engineering,IR-1-O-E-C-16604,858.0,1906.0,2764.0,893.0,1838.0
Sri Venkateswara University,IR-2-O-OE-U-0037,858.0,1906.0,2764.0,893.0,1838.0
PSG Institute of Medical Sciences & Research,IR-1-O-D-C-45515,858.0,1906.0,2764.0,893.0,1838.0
Chaudhary Charan Singh Haryana Agricultural University,IR-1-O-O-U-0159,858.0,1906.0,2764.0,893.0,1838.0
University of Jammu,IR-3-O-OML-U-0195,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Warangal,IR-2-O-OE-U-0025,858.0,1906.0,2764.0,893.0,1838.0
Dr. D. Y. Patil Vidyapeeth,IR-2-O-OD-I-1110,858.0,1906.0,2764.0,893.0,1838.0
Amity University,IR-6-O-OEMALP-U-0497,858.0,1906.0,2764.0,893.0,1838.0
Madurai Kamraj University,IR-1-O-O-U-0463,858.0,1906.0,2764.0,893.0,1838.0
SVKM`s Narsee Monjee Institute of Management Studies,IR-6-O-OEMAPC-N-10,858.0,1906.0,2764.0,893.0,1838.0
Koneru Lakshmaiah Education Foundation University,IR-2-O-EM-U-0020,858.0,1906.0,2764.0,893.0,1838.0
KLE Academy of Higher Education and Research,IR-1-O-O-U-0225,858.0,1906.0,2764.0,893.0,1838.0
University of Agricultural Sciences,IR-1-O-O-U-0246,858.0,1906.0,2764.0,893.0,1838.0
Pondicherry University,IR-3-O-OEM-U-0369,858.0,1906.0,2764.0,893.0,1838.0
Guru Nanak Dev University,IR-1-O-O-U-0376,858.0,1906.0,2764.0,893.0,1838.0
North Eastern Hill University,IR-1-O-O-U-0341,858.0,1906.0,2764.0,893.0,1838.0
Sri Venkateswara Institute of Medical Sciences,IR-1-O-D-U-0036,858.0,1906.0,2764.0,893.0,1838.0
Dayalbagh Educational Institute,IR-2-O-OE-U-0507,858.0,1906.0,2764.0,893.0,1838.0
Banasthali Vidyapith,IR-4-O-OEMP-U-0389,858.0,1906.0,2764.0,893.0,1838.0
Tamil Nadu Veterinary & Animal Sciences University,IR-1-O-O-U-0487,858.0,1906.0,2764.0,893.0,1838.0
Bharati Vidyapeeth,IR-1-O-O-I-1361,858.0,1906.0,2764.0,893.0,1838.0
Bharathidasan University,IR-1-O-O-U-0448,858.0,1906.0,2764.0,893.0,1838.0
Thiagarajar College of Engineering,IR-3-O-OEA-C-26794,858.0,1906.0,2764.0,893.0,1838.0
College of Engineering,IR-1-O-E-C-41593,858.0,1906.0,2764.0,893.0,1838.0
Mahatma Gandhi Medical College and Research Institute,IR-1-O-D-C-47762,858.0,1906.0,2764.0,893.0,1838.0
Goa University,IR-1-O-O-U-0121,858.0,1906.0,2764.0,893.0,1838.0
Cochin University of Science and Technology,IR-1-O-O-U-0253,858.0,1906.0,2764.0,893.0,1838.0
Delhi Technological University,IR-2-O-OE-U-0098,858.0,1906.0,2764.0,893.0,1838.0
