University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Indian Institute of Management Kozhikode,IR17-I-1-18703,858.0,1906.0,2764.0,893.0,1838.0
AMITY University,IR17-I-2-18259,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Crop Processing Technology,IR17-I-1-12080,858.0,1906.0,2764.0,893.0,1838.0
PSG College of Technology,IR17-I-1-2811179135,858.0,1906.0,2764.0,893.0,1838.0
Banasthali Vidyapith,IR17-I-2-18508,858.0,1906.0,2764.0,893.0,1838.0
Bharati Vidyapeeth,IR17-I-2-18580,858.0,1906.0,2764.0,893.0,1838.0
Saveetha Institute of Medical and Technical Sciences,IR17-I-2-18474,858.0,1906.0,2764.0,893.0,1838.0
Annamalai University,IR17-I-2-1-33,858.0,1906.0,2764.0,893.0,1838.0
Calicut University,IR17-I-2-18607,858.0,1906.0,2764.0,893.0,1838.0
Mizoram University,IR17-I-2-1-448,858.0,1906.0,2764.0,893.0,1838.0
Kurukshetra University,IR17-I-2-1-373,858.0,1906.0,2764.0,893.0,1838.0
Shiv Nadar University,IR17-I-2-10933,858.0,1906.0,2764.0,893.0,1838.0
Symbiosis International University,IR17-I-2-21078,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Science Education & Research, Bhopal",IR17-I-2-18634,858.0,1906.0,2764.0,893.0,1838.0
Rajiv Gandhi Indian Institute of Management,IR17-I-1-18710,858.0,1906.0,2764.0,893.0,1838.0
KLE Academy of Higher Education and Research,IR17-I-2-1-N002,858.0,1906.0,2764.0,893.0,1838.0
