University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Indian Institute of Science Bangalore,IR17-I-2-18243,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Madras,IR17-I-1-1-77,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Bombay,IR17-I-2-18633,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Kharagpur,IR17-I-2-18630,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Delhi,IR17-I-2-1-79,858.0,1906.0,2764.0,893.0,1838.0
Jawaharlal Nehru University,IR17-I-2-1-319,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Kanpur,IR17-I-2-18248,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Guwahati,IR17-I-2-1-251,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Roorkee,IR17-I-2-18677,858.0,1906.0,2764.0,893.0,1838.0
Banaras Hindu University,IR17-I-2-18500,858.0,1906.0,2764.0,893.0,1838.0
Jawaharlal Nehru Centre for Advanced Scientific Research,IR17-I-2-30673,858.0,1906.0,2764.0,893.0,1838.0
Jadavpur University,IR17-I-2-10326,858.0,1906.0,2764.0,893.0,1838.0
Anna University,IR17-I-2-18292,858.0,1906.0,2764.0,893.0,1838.0
University of Hyderabad,IR17-I-2-1-2813521158,858.0,1906.0,2764.0,893.0,1838.0
University of Delhi,IR17-I-2-18552,858.0,1906.0,2764.0,893.0,1838.0
Amrita Vishwa Vidyapeetham,IR17-I-2-18267,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Ahmedabad,IR17-I-1-18698,858.0,1906.0,2764.0,893.0,1838.0
Savitribai Phule Pune University,IR17-I-2-1-618,858.0,1906.0,2764.0,893.0,1838.0
Aligarh Muslim University,IR17-I-2-18189,858.0,1906.0,2764.0,893.0,1838.0
Jamia Millia Islamia,IR17-I-2-1-2814289415,858.0,1906.0,2764.0,893.0,1838.0
Birla Institute of Technology & Science -Pilani,IR17-I-2-18599,858.0,1906.0,2764.0,893.0,1838.0
Vellore Institute of Technology,IR17-I-2-18572,858.0,1906.0,2764.0,893.0,1838.0
Indian Agricultural Research Institute,IR17-I-2-1-243,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Indore,IR17-I-2-1-346,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Bangalore,IR17-I-1-1-217,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Hyderabad,IR17-I-2-1-345,858.0,1906.0,2764.0,893.0,1838.0
Calcutta University,IR17-I-2-18606,858.0,1906.0,2764.0,893.0,1838.0
Tamil Nadu Agricultural University,IR17-I-2-15598,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Science Education & Research, Pune",IR17-I-1-18637,858.0,1906.0,2764.0,893.0,1838.0
Manipal Academy of Higher Education-Manipal,IR17-I-2-18364,858.0,1906.0,2764.0,893.0,1838.0
Visva Bharati,IR17-I-2-18581,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Ropar,IR17-I-2-1-340,858.0,1906.0,2764.0,893.0,1838.0
Siksha`O` Anusandhan University,IR17-I-2-1-624,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Tiruchirappalli,IR17-I-1-1-370,858.0,1906.0,2764.0,893.0,1838.0
Homi Bhabha National Institute,IR17-I-2-18230,858.0,1906.0,2764.0,893.0,1838.0
Bharath Institute of Higher Education & Research,IR17-I-2-18559,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Mandi,IR17-I-2-18639,858.0,1906.0,2764.0,893.0,1838.0
Osmania University,IR17-I-2-18414,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Calcutta,IR17-I-1-18700,858.0,1906.0,2764.0,893.0,1838.0
"Punjab Agricultural University, Ludhiana",IR17-I-1-30713,858.0,1906.0,2764.0,893.0,1838.0
Institute of Chemical Technology,IR17-I-2-18261,858.0,1906.0,2764.0,893.0,1838.0
Jamia Hamdard,IR17-I-2-17784,858.0,1906.0,2764.0,893.0,1838.0
Gauhati University,IR17-I-2-30702,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Science Education & Research, Kolkata",IR17-I-1-18635,858.0,1906.0,2764.0,893.0,1838.0
Bharathiar University,IR17-I-2-18567,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Rourkela,IR17-I-2-1-140,858.0,1906.0,2764.0,893.0,1838.0
Kerala University,IR17-I-2-18317,858.0,1906.0,2764.0,893.0,1838.0
Tezpur University,IR17-I-2-10563,858.0,1906.0,2764.0,893.0,1838.0
TATA Institute of Social Sciences,IR17-I-1-700,858.0,1906.0,2764.0,893.0,1838.0
Shanmugha Arts Science Technology & Research Academy (SASTRA),IR17-I-2-18477,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Lucknow,IR17-I-1-18704,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Science Education & Research, Mohali",IR17-I-2-1-333,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology (Indian School of Mines),IR17-I-1-18632,858.0,1906.0,2764.0,893.0,1838.0
Panjab University,IR17-I-2-1-2814248400,858.0,1906.0,2764.0,893.0,1838.0
S.R.M Institute of Science and Technology,IR17-I-2-1-596,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Space Science and Technology,IR17-I-1-1-249,858.0,1906.0,2764.0,893.0,1838.0
Mysore University,IR17-I-2-1-457,858.0,1906.0,2764.0,893.0,1838.0
"National Institute of Pharmaceutical Education and Research, Hyderabad",IR17-I-2-18693,858.0,1906.0,2764.0,893.0,1838.0
Pondicherry University,IR17-I-2-18424,858.0,1906.0,2764.0,893.0,1838.0
Tamil Nadu Veterinary & Animal Sciences University,IR17-I-2-1-697,858.0,1906.0,2764.0,893.0,1838.0
Sri Ramachandra University,IR17-I-2-1-661,858.0,1906.0,2764.0,893.0,1838.0
Anand Agricultural University,IR17-I-2-18276,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Udaipur,IR17-I-1-18709,858.0,1906.0,2764.0,893.0,1838.0
University of Madras,IR17-I-2-18341,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Surathkal,IR17-I-1-1-493,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Bhubaneswar,IR17-I-1-18627,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Tiruchirappalli,IR17-I-1-1-18708,858.0,1906.0,2764.0,893.0,1838.0
Sri Venkateswara University,IR17-I-2-1-668,858.0,1906.0,2764.0,893.0,1838.0
Andhra University,IR17-I-2-1-31,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Technology (Banaras Hindu University), Varanasi",IR17-I-2-18672,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Kashipur,IR17-I-1-1-347,858.0,1906.0,2764.0,893.0,1838.0
Sathyabama Institute of Science and Technology,IR17-I-2-18472,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Engineering Science and Technology, Shibpur",IR17-I-2-18690,858.0,1906.0,2764.0,893.0,1838.0
Jagadguru Sri Shivarathreeshwara University,IR17-I-2-1-299,858.0,1906.0,2764.0,893.0,1838.0
Thapar University,IR17-I-2-1-2813959492,858.0,1906.0,2764.0,893.0,1838.0
Dr. D. Y. Patil Vidyapeeth Pune,IR17-I-2-30671,858.0,1906.0,2764.0,893.0,1838.0
North Eastern Hill University,IR17-I-2-18409,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Gandhinagar,IR17-I-1-18628,858.0,1906.0,2764.0,893.0,1838.0
Kalinga Institute of Industrial Technology,IR17-I-2-1-336,858.0,1906.0,2764.0,893.0,1838.0
Sri Sivasubrmaniya Nadar College of Engineering,IR17-I-1-1-2811256746,858.0,1906.0,2764.0,893.0,1838.0
Guru Angad Dev Veterinary & Animal Sciences University,IR17-I-2-18214,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Warangal,IR17-I-2-18622,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Patna,IR17-I-2-1-344,858.0,1906.0,2764.0,893.0,1838.0
Dr. Y.S.Parmar University of Horticulture & Forestry,IR17-I-2-1-178,858.0,1906.0,2764.0,893.0,1838.0
